instance_id,t_gini,early_t_gini,success,issue_length,diff_size,test_size,repo
django__django-13128,0.32734997344662764,0.3305725838007043,0.0,422,3354,5655,django/django
django__django-13158,0.2916665016793074,0.21137069505917205,0.0,1176,961,772,django/django
django__django-13195,0.31619484375459317,0.2689498263680996,0.0,2402,2611,3317,django/django
django__django-13212,0.23020053757025072,0.33748256624825657,0.0,468,7779,5326,django/django
django__django-13279,0.3917287368003459,0.375405208118029,0.0,432,1278,2230,django/django
django__django-13297,0.35385660035711597,0.40735296660729414,0.0,1384,1114,1989,django/django
django__django-13315,0.29398994670707124,0.2898904144534451,0.0,285,1186,3662,django/django
django__django-13343,0.2722517816771721,0.28760032615994624,0.0,1260,980,1150,django/django
django__django-13344,0.34964925348011233,0.36969532941540373,0.0,1361,5088,7843,django/django
django__django-13346,0.31644914069426444,0.321907254189127,0.0,620,1839,1510,django/django
django__django-13363,0.2708223108542591,0.22030048916841372,1.0,1676,1025,1752,django/django
django__django-13401,0.4422610447042341,0.5199736486748325,1.0,1234,2030,1703,django/django
django__django-13406,0.37433280834508365,0.3029559336823735,0.0,3084,359,1820,django/django
django__django-13410,0.25486707138371356,0.27812487720539125,1.0,1242,651,1453,django/django
django__django-13417,0.31190432670966395,0.32796249662099686,0.0,940,654,813,django/django
django__django-13449,0.3511620336460768,0.38974960876369313,0.0,6278,1290,2808,django/django
django__django-13512,0.29766044917051615,0.3040079598643459,0.0,462,1256,1284,django/django
django__django-13513,0.43775780232704653,0.41447847504819024,0.0,1158,3686,1653,django/django
django__django-13516,0.20278960892080078,0.2290525662335443,0.0,619,476,1163,django/django
django__django-13551,0.30649412228359596,0.2494623655913979,0.0,603,1557,3966,django/django
django__django-13568,0.22939261273810718,0.2115453819082298,0.0,765,672,3072,django/django
django__django-13569,0.3309151096897267,0.3683885504464659,0.0,1983,519,1035,django/django
django__django-13590,0.15973943716708217,0.22631430949287146,0.0,859,823,1677,django/django
django__django-13658,0.24843026172858762,0.2480724317752825,1.0,1237,854,1582,django/django
django__django-13670,0.41818386750295056,0.3102852383926711,1.0,767,476,746,django/django
django__django-13741,0.30399258760107806,0.2417135411701148,1.0,1020,1209,399,django/django
django__django-13786,0.5005001230669326,0.38408203793741014,1.0,740,935,1613,django/django
django__django-13794,0.37814652727125364,0.40921581335061563,0.0,307,610,1741,django/django
django__django-13807,0.37901889294000646,0.4513961605584642,0.0,1501,1917,1607,django/django
django__django-13809,0.42338716702381585,0.2732301356677693,1.0,457,1222,2039,django/django
django__django-13810,0.5012345829659888,0.4310856018492719,0.0,2259,1176,1244,django/django
django__django-13820,0.3318381043692644,0.2975769272006006,1.0,2102,1408,1874,django/django
