formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,xi_values,xi_window_pass,susceptibility_values,susceptibility_spike_ratio,split_stability_pass,acceptance_by_L,proposal_scale_final_by_L,stability_gate_pass
2.780000,"6,8,10,12",1.100000,1.150000,0.000000,t_projected_direct,2.0957614373,0.0320000000,,out_of_anchor_band,2.0637614373,0.0160000000,,out_of_anchor_band,0.1229903336|0.1032653613|0.0000000000|0.0810593596,True,0.3801867547|0.4052586849|0.2800801680|0.4194838474,1.0681425500,True,0.5421932870|0.5256803385|0.5207937500|0.5220978009,0.6597624565|0.6937637850|0.7007715000|0.7007715000,True
2.780000,"6,8,10,12",1.100000,1.050000,0.000000,t_projected_direct,2.0982448080,0.0320000000,,out_of_anchor_band,2.0662448080,0.0160000000,,out_of_anchor_band,0.0941057299|0.0681739550|0.0000000000|0.0638010995,True,0.3252538321|0.3201181511|0.2787569491|0.3427205653,1.0620869025,True,0.5288831019|0.5216796875|0.5218979167|0.5211154514,0.6731583068|0.6937637850|0.6937637850|0.6937637850,True
2.780000,"6,8,10,12",0.900000,1.200000,0.000000,t_projected_direct,2.1202805681,0.0320000000,,out_of_anchor_band,2.0882805681,0.0160000000,,out_of_anchor_band,0.1128092293|0.0556892907|0.0748724956|0.0575877660,True,0.3448743897|0.3221653242|0.3357549627|0.3113294330,1.0483774297,True,0.5578819444|0.5196582031|0.5096854167|0.5094155093,0.6058424761|0.6868261472|0.7078500000|0.7078500000,True
2.780000,"6,8,10,12",1.050000,1.200000,0.000000,t_projected_direct,2.1242597996,0.0320000000,,out_of_anchor_band,2.0922597996,0.0160000000,,out_of_anchor_band,0.1331247069|0.0718729870|0.0537308394|0.0706369707,True,0.4328951766|0.3378159242|0.3521513452|0.3841415201,1.1758776895,True,0.5309490741|0.5307096354|0.5214145833|0.5209765625,0.6799578857|0.6799578857|0.7007715000|0.7007715000,True
2.780000,"6,8,10,12",0.900000,1.050000,0.000000,t_projected_direct,2.1482859633,0.0320000000,,out_of_anchor_band,2.1162859633,0.0160000000,,out_of_anchor_band,0.1229609585|0.0610456849|0.0385597299|0.0884686766,True,0.3441351610|0.2804678077|0.2742383962|0.3228017390,1.1409001594,True,0.5267766204|0.5148177083|0.5086291667|0.5132725694,0.6597624565|0.6868261472|0.7007715000|0.6937637850,True
2.780000,"6,8,10,12",1.000000,1.100000,0.000000,t_projected_direct,2.1538979095,0.0320000000,,out_of_anchor_band,2.1218979095,0.0160000000,,out_of_anchor_band,0.1060465909|0.1007677894|0.0827970330|0.0000000000,True,0.3323665258|0.3424572025|0.3462039361|0.2878480874,1.0260573883,True,0.5270486111|0.5211979167|0.5197916667|0.5138845486,0.6731583068|0.6868261472|0.6868261472|0.7007715000,True
2.780000,"6,8,10,12",1.100000,1.000000,0.000000,t_projected_direct,2.1595117349,0.0320000000,,out_of_anchor_band,2.1275117349,0.0160000000,,out_of_anchor_band,0.1051244880|0.0558890625|0.0098593894|0.0138834626,True,0.3295978008|0.3131586695|0.2964681202|0.2968390396,1.0806525858,True,0.5197974537|0.5246744792|0.5194479167|0.5167867477,0.6937637850|0.6868261472|0.6937637850|0.7007715000,True
2.780000,"6,8,10,12",1.000000,1.200000,0.000000,t_projected_direct,2.2138556840,0.0320000000,,out_of_anchor_band,2.1818556840,0.0160000000,,out_of_anchor_band,0.1169550469|0.0279603961|0.0566392933|0.0000000000,True,0.3870266189|0.2978248452|0.3555136289|0.3164598188,1.1519104519,True,0.5361979167|0.5213802083|0.5183125000|0.5174348958,0.6664267238|0.6937637850|0.7007715000|0.7007715000,True
2.780000,"6,8,10,12",1.050000,1.000000,0.000000,t_projected_direct,2.2220561370,0.0320000000,,out_of_anchor_band,2.1900561370,0.0160000000,,out_of_anchor_band,0.0921066350|0.0427591690|0.0502757550|0.0000000000,True,0.3219893248|0.2772233098|0.2981526311|0.2602840651,1.1192311040,True,0.5273437500|0.4911946615|0.4873708333|0.4813570602,0.6731583068|0.7555087619|0.7631401635|0.7786350000,True
2.780000,"6,8,10,12",0.900000,1.000000,0.000000,t_projected_direct,2.3557637083,0.0320000000,,out_of_anchor_band,2.3237637083,0.0160000000,,out_of_anchor_band,0.0915366392|0.0919677040|0.0000000000|0.0000000000,True,0.2697739124|0.2895107410|0.2350300541|0.2183835259,1.1470224490,True,0.5207175926|0.5420214844|0.5404437500|0.5411906829,0.6731583068|0.6243874065|0.6306943500|0.6306943500,True
2.780000,"6,8,10,12",0.950000,1.050000,0.000000,t_projected_direct,2.3621407195,0.0320000000,,out_of_anchor_band,2.3301407195,0.0160000000,,out_of_anchor_band,0.1035749539|0.0431332084|0.0803385871|0.0000000000,True,0.3339135475|0.2602867030|0.3097957000|0.2448854110,1.1714571287,True,0.5537384259|0.5162369792|0.5448229167|0.5102936921,0.6119620971|0.6868261472|0.6306943500|0.7007715000,True
2.780000,"6,8,10,12",1.100000,1.100000,0.000000,t_projected_direct,2.4005398581,0.0320000000,,out_of_anchor_band,2.3685398581,0.0160000000,,out_of_anchor_band,0.1167530854|0.0327118071|0.0000000000|0.0000000000,True,0.3869257618|0.3158019608|0.3271035640|0.2797800556,1.2036784469,True,0.5305497685|0.5255208333|0.5205875000|0.5190277778,0.6799578857|0.6937637850|0.7007715000|0.7007715000,True
2.780000,"6,8,10,12",0.900000,1.100000,0.000000,t_projected_direct,2.2666552165,0.0320000000,,out_of_anchor_band,2.2346552165,0.0160000000,,out_of_anchor_band,0.1264257733|0.0711411091|0.0000000000|0.0771889427,True,0.3431887164|0.3004498934|0.2677983021|0.3016856723,1.1399051508,False,0.5172916667|0.4852246094|0.5426187500|0.5129108796,0.6868261472|0.7555087619|0.6306943500|0.6937637850,False
