formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,xi_values,xi_window_pass,susceptibility_values
2.780000,"6,8,10,12",1.200000,1.100000,0.000000,t_projected_direct,1.5501793341,0.0320000000,,out_of_anchor_band,1.5181793341,0.0160000000,,out_of_anchor_band,0.0000000000|0.0467252374|0.0528182565|0.0810006237,True,0.3155562369|0.3513056718|0.4016807507|0.4276626964
2.780000,"6,8,10,12",0.800000,0.800000,0.000000,t_projected_direct,1.5745116674,0.0320000000,,out_of_anchor_band,1.5425116674,0.0160000000,,out_of_anchor_band,0.0000000000|0.0801694266|0.0000000000|0.0550239107,True,0.1729448115|0.2331934040|0.1680982549|0.2579380678
2.780000,"6,8,10,12",0.900000,0.950000,0.000000,t_projected_direct,1.5814315261,0.0320000000,,out_of_anchor_band,1.5494315261,0.0160000000,,out_of_anchor_band,0.0635587055|0.0000000000|0.1013410840|0.0000000000,True,0.2033104989|0.2283318843|0.3418892120|0.2301749561
2.780000,"6,8,10,12",0.950000,0.800000,0.000000,t_projected_direct,-1.5991025328,0.0320000000,,non_physical_eta_proxy,1.6311025328,0.0160000000,,non_physical_eta_proxy,0.0213795718|0.0753514378|0.0610990574|0.0000000000,True,0.1937906923|0.2812514393|0.2512191423|20.3574170114
2.780000,"6,8,10,12",1.050000,0.800000,0.000000,t_projected_direct,-1.6147712398,0.0320000000,,non_physical_eta_proxy,1.6467712398,0.0160000000,,non_physical_eta_proxy,0.0653774404|0.0000000000|0.2129464609|0.0000000000,True,0.2484601949|0.2614084986|11.8613893651|1.0465500934
2.780000,"6,8,10,12",1.200000,0.900000,0.000000,t_projected_direct,1.6834112070,0.0320000000,,out_of_anchor_band,1.6514112070,0.0160000000,,out_of_anchor_band,0.1501316013|0.0313935257|0.0000000000|0.1106434444,True,0.3777038348|0.2477352620|0.2568424860|2.2990882033
2.780000,"6,8,10,12",0.800000,1.050000,0.000000,t_projected_direct,1.7095201415,0.0320000000,,out_of_anchor_band,1.6775201415,0.0160000000,,out_of_anchor_band,0.0891543059|0.0000000000|0.0924016133|0.0927850336,True,0.2641710040|0.2258785613|0.4589810869|0.2942766794
2.780000,"6,8,10,12",1.000000,1.050000,0.000000,t_projected_direct,1.7205341246,0.0320000000,,out_of_anchor_band,1.6885341246,0.0160000000,,out_of_anchor_band,0.0888564747|0.0602171969|0.0000000000|0.1041953252,True,0.2751967463|0.2979259513|0.2784209843|0.3551013332
2.780000,"6,8,10,12",0.800000,1.200000,0.000000,t_projected_direct,1.7484224686,0.0320000000,,out_of_anchor_band,1.7164224686,0.0160000000,,out_of_anchor_band,0.0564920170|0.0234699826|0.0000000000|0.0000000000,True,0.2169643762|0.2546747033|0.2340632199|0.2792245424
2.780000,"6,8,10,12",0.950000,1.100000,0.000000,t_projected_direct,1.7689359461,0.0320000000,,out_of_anchor_band,1.7369359461,0.0160000000,,out_of_anchor_band,0.0969141663|0.0000000000|0.0000000000|0.1557248539,True,0.3301338330|0.2077507311|0.2355568929|3.5282372715
2.780000,"6,8,10,12",1.200000,1.050000,0.000000,t_projected_direct,1.7696276784,0.0320000000,,out_of_anchor_band,1.7376276784,0.0160000000,,out_of_anchor_band,0.0355248329|0.0870058852|0.0000000000|0.0000000000,True,0.2107429895|0.3966176652|0.3221960501|0.2763184453
2.780000,"6,8,10,12",0.950000,1.200000,0.000000,t_projected_direct,1.8184413918,0.0320000000,,out_of_anchor_band,1.7864413918,0.0160000000,,out_of_anchor_band,0.0944947880|0.0757131531|0.0957890749|0.1272402120,True,0.3493580144|0.2943067552|0.3911881146|0.3754139543
2.780000,"6,8,10,12",1.100000,0.900000,0.000000,t_projected_direct,1.8289798905,0.0320000000,,out_of_anchor_band,1.7969798905,0.0160000000,,out_of_anchor_band,0.1450092621|0.0730200831|0.0555326415|0.1050740428,True,0.3572584315|0.3259617808|0.3414805233|0.4154528317
2.780000,"6,8,10,12",0.900000,1.200000,0.000000,t_projected_direct,1.8417653216,0.0320000000,,out_of_anchor_band,1.8097653216,0.0160000000,,out_of_anchor_band,0.1245979940|0.0270629297|0.0000000000|0.1427593855,True,0.3797016878|0.2963787938|0.2891329262|1.5839175906
2.780000,"6,8,10,12",1.100000,1.000000,0.000000,t_projected_direct,2.0055103028,0.0320000000,,out_of_anchor_band,1.9735103028,0.0160000000,,out_of_anchor_band,0.0000000000|0.1109135234|0.0000000000|0.0000000000,True,0.2426451638|0.3843570904|0.2466191732|0.2586415568
2.780000,"6,8,10,12",1.000000,0.950000,0.000000,t_projected_direct,2.0245864859,0.0320000000,,out_of_anchor_band,1.9925864859,0.0160000000,,out_of_anchor_band,0.0746218595|0.1103017897|0.0732136233|0.0000000000,True,0.2303524019|0.3311302835|0.3695322979|0.2142328689
2.780000,"6,8,10,12",1.100000,1.050000,0.000000,t_projected_direct,2.0363996399,0.0320000000,,out_of_anchor_band,2.0043996399,0.0160000000,,out_of_anchor_band,0.0679310321|0.0000000000|0.2453329229|0.0000000000,True,0.2903527060|0.2830169215|6.2959225855|0.1857567334
2.780000,"6,8,10,12",1.100000,0.800000,0.000000,t_projected_direct,2.0852462943,0.0320000000,,out_of_anchor_band,2.0532462943,0.0160000000,,out_of_anchor_band,0.1213604959|0.1228522923|0.0738661097|0.0000000000,True,0.3138570524|0.3349101433|0.3399200696|0.2766992840
2.780000,"6,8,10,12",1.050000,1.200000,0.000000,t_projected_direct,2.1593122551,0.0320000000,,out_of_anchor_band,2.1273122551,0.0160000000,,out_of_anchor_band,0.0000000000|0.0965846935|0.0000000000|0.0000000000,True,0.2128388926|0.3895708670|0.2541257135|0.2084496734
2.780000,"6,8,10,12",0.900000,0.900000,0.000000,t_projected_direct,2.2080294858,0.0320000000,,out_of_anchor_band,2.1760294858,0.0160000000,,out_of_anchor_band,0.1228408130|0.1207788967|0.0000000000|0.0947327282,True,0.2954732322|0.4115803078|0.2161678175|1.0861004187
2.780000,"6,8,10,12",0.800000,1.100000,0.000000,t_projected_direct,-2.1472622398,0.0320000000,,non_physical_eta_proxy,2.1792622398,0.0160000000,,non_physical_eta_proxy,0.0000000000|0.0792821500|0.0000000000|0.1791561434,True,0.2356173952|0.2568668774|0.2043889988|19.0321066075
2.780000,"6,8,10,12",0.900000,1.050000,0.000000,t_projected_direct,2.2422477224,0.0320000000,,out_of_anchor_band,2.2102477224,0.0160000000,,out_of_anchor_band,0.0677255568|0.1224709131|0.0481886449|0.0000000000,True,0.2215244897|0.4038908867|0.2964491725|0.1918318168
2.780000,"6,8,10,12",0.800000,0.900000,0.000000,t_projected_direct,2.2884278225,0.0320000000,,out_of_anchor_band,2.2564278225,0.0160000000,,out_of_anchor_band,0.1366214597|0.1054759133|0.0487296540|0.0000000000,True,0.2458557989|0.2611248263|0.2375659190|0.2028143995
2.780000,"6,8,10,12",0.950000,1.000000,0.000000,t_projected_direct,2.3387735314,0.0320000000,,out_of_anchor_band,2.3067735314,0.0160000000,,out_of_anchor_band,0.1290636687|0.0657779959|0.0000000000|0.0451356530,True,0.3422351260|0.2746539285|0.2424746868|0.2723457148
2.780000,"6,8,10,12",0.800000,0.950000,0.000000,t_projected_direct,2.3864463900,0.0320000000,,out_of_anchor_band,2.3544463900,0.0160000000,,out_of_anchor_band,0.0673140384|0.0000000000|0.0528369355|0.0000000000,True,0.2804005825|1.6925408106|0.2306302018|0.2139694835
2.780000,"6,8,10,12",0.900000,1.000000,0.000000,t_projected_direct,2.5990939655,0.0320000000,,out_of_anchor_band,2.5670939655,0.0160000000,,out_of_anchor_band,0.1152385357|0.0000000000|0.0792503164|0.0000000000,True,0.2944172709|0.2878636880|0.3156130426|0.1995021033
2.780000,"6,8,10,12",0.950000,0.950000,0.000000,t_projected_direct,-2.9320892270,0.0320000000,,non_physical_eta_proxy,2.9640892270,0.0160000000,,non_physical_eta_proxy,0.0000000000|0.1290455960|0.0741858733|0.1743903738,True,0.1915190296|0.3360484452|0.4031300030|13.9382860038
2.780000,"6,8,10,12",0.900000,0.800000,0.000000,t_projected_direct,3.1533022807,0.0320000000,,out_of_anchor_band,3.1213022807,0.0160000000,,out_of_anchor_band,0.0000000000|0.0322403255|0.0000000000|0.0000000000,True,0.2244369896|20.8088274103|0.2026204134|0.1908008536
2.780000,"6,8,10,12",1.050000,1.100000,0.000000,t_projected_direct,-3.4827459211,0.0320000000,,non_physical_eta_proxy,3.5147459211,0.0160000000,,non_physical_eta_proxy,0.1450016947|0.0785689932|0.0000000000|0.0000000000,True,0.4006316256|0.2655365647|0.2078844909|23.7096978648
2.780000,"6,8,10,12",1.000000,0.900000,0.000000,t_projected_direct,3.8679360713,0.0320000000,,out_of_anchor_band,3.8359360713,0.0160000000,,out_of_anchor_band,0.0000000000|0.2761298939|0.0000000000|0.0088438611,True,0.2656848148|24.3208796177|0.2296021854|0.3225051998
2.780000,"6,8,10,12",0.950000,0.900000,0.000000,t_projected_direct,-6.5734418920,0.0320000000,,non_physical_eta_proxy,6.6054418920,0.0160000000,,non_physical_eta_proxy,0.1459729393|0.0769994041|0.1858598472|0.1975723894,True,0.2913403684|0.2497583438|29.6396570149|20.7073323495
