formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,xi_values,xi_window_pass,susceptibility_values
2.780000,"4,6,8",1.250000,1.000000,0.000000,t_projected_direct,1.0404485290,0.0320000000,,out_of_anchor_band,1.0084485290,0.0160000000,,out_of_anchor_band,0.0075614251|0.1709035890|0.0970603137,True,0.1820903627|0.5429439222|0.3365371417
2.780000,"4,6,8",1.250000,0.750000,0.000000,t_projected_direct,-0.9824377261,0.0320000000,,non_physical_eta_proxy,1.0144377261,0.0160000000,,non_physical_eta_proxy,0.0910586788|0.0000000000|0.1248023208,True,0.2543490952|0.1696091052|3.6251047199
2.700000,"4,6,8",0.400000,0.500000,0.000000,t_projected_direct,1.0628081509,0.0370000000,,out_of_anchor_band,1.0258081509,0.0160000000,,out_of_anchor_band,0.0451307509|0.0995723053|0.0881442735,True,0.1473314710|0.2079664890|0.2896659807
2.680000,"4,6,8",0.800000,1.000000,0.000000,t_projected_direct,1.0668082951,0.0380000000,,out_of_anchor_band,1.0288082951,0.0160000000,,out_of_anchor_band,0.0000000000|0.2051944229|0.0405598122,True,0.1593295924|0.6221119571|0.2800059793
2.700000,"4,6,8",0.800000,1.000000,0.000000,t_projected_direct,1.0866562607,0.0370000000,,out_of_anchor_band,1.0496562607,0.0160000000,,out_of_anchor_band,0.0000000000|0.0000000000|0.1089546362,True,0.1875158521|0.2022344454|0.3671597160
3.000000,"4,6,8",0.400000,0.750000,0.000000,t_projected_direct,-1.1302181633,0.0190000000,,non_physical_eta_proxy,1.1492181633,0.0130000000,,non_physical_eta_proxy,0.0613776627|0.0861149566|0.0000000000,True,0.1606482198|0.1720994775|2.5225293988
3.000000,"4,6,8",1.000000,1.000000,0.000000,t_projected_direct,1.2588220341,0.0190000000,,out_of_anchor_band,1.2398220341,0.0130000000,,out_of_anchor_band,0.0000000000|0.0794334956|0.0000000000,True,0.1502419544|0.2283881800|0.2471360165
2.680000,"4,6,8",0.600000,0.500000,0.000000,t_projected_direct,1.3000033829,0.0380000000,,out_of_anchor_band,1.2620033829,0.0160000000,,out_of_anchor_band,0.1322846493|0.0749645441|0.0000000000,True,0.2411654205|0.1918081781|0.4660051086
3.000000,"4,6,8",0.600000,1.000000,0.000000,t_projected_direct,1.3028513821,0.0190000000,,out_of_anchor_band,1.2838513821,0.0130000000,,out_of_anchor_band,0.0351835365|0.0000000000|0.1417316245,True,0.1429789961|0.2100049069|0.2268175311
3.000000,"4,6,8",1.000000,0.750000,0.000000,t_projected_direct,-1.2674397069,0.0190000000,,non_physical_eta_proxy,1.2864397069,0.0130000000,,non_physical_eta_proxy,0.0834683402|0.3086254133|0.0563251883,True,0.1595403908|8.4847334097|0.2545007660
2.780000,"4,6,8",0.400000,0.500000,0.000000,t_projected_direct,1.3237722678,0.0320000000,,out_of_anchor_band,1.2917722678,0.0160000000,,out_of_anchor_band,0.1947520579|0.0000000000|0.0000000000,True,0.2745051195|0.1282513550|1.1767998958
2.680000,"4,6,8",0.600000,0.750000,0.000000,t_projected_direct,-1.2638152351,0.0380000000,,non_physical_eta_proxy,1.3018152351,0.0160000000,,non_physical_eta_proxy,0.0303568007|0.0983670745|0.0000000000,True,0.1581395196|0.1901271216|9.7981973948
2.900000,"4,6,8",1.500000,0.750000,0.000000,t_projected_direct,1.3317460679,0.0250000000,,out_of_anchor_band,1.3067460679,0.0150000000,,out_of_anchor_band,0.0977389676|0.0000000000|0.1314944720,True,0.2616154241|0.2395179508|0.4456518470
2.900000,"4,6,8",0.800000,0.500000,0.000000,t_projected_direct,1.3903828914,0.0250000000,,out_of_anchor_band,1.3653828914,0.0150000000,,out_of_anchor_band,0.0000000000|0.1389446171|0.1190633720,True,0.1391648911|0.2433573816|0.2105820991
3.000000,"4,6,8",0.400000,1.000000,0.000000,t_projected_direct,1.3865576207,0.0190000000,,out_of_anchor_band,1.3675576207,0.0130000000,,out_of_anchor_band,0.1284966484|0.0000000000|0.1489752906,True,0.2135677478|0.1086622814|2.1693423644
2.700000,"4,6,8",0.600000,0.500000,0.000000,t_projected_direct,1.4108563712,0.0370000000,,out_of_anchor_band,1.3738563712,0.0160000000,,out_of_anchor_band,0.0000000000|0.0457208822|0.0970259165,True,0.1429056340|0.1569989679|0.2266540577
3.000000,"4,6,8",1.250000,0.500000,0.000000,t_projected_direct,1.4729744743,0.0190000000,,out_of_anchor_band,1.4539744743,0.0130000000,,out_of_anchor_band,0.0452235319|0.0752879898|0.0399471724,True,0.1622268346|0.1967151453|0.2337895786
2.900000,"4,6,8",0.600000,0.750000,0.000000,t_projected_direct,1.4871824677,0.0250000000,,out_of_anchor_band,1.4621824677,0.0150000000,,out_of_anchor_band,0.0677271608|0.0000000000|0.0568957287,True,0.1594507131|0.1529026117|0.2209818266
