formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,susceptibility_values
2.780000,"4,6,8",0.200000,2.000000,0.000000,t_projected_direct,0.2460992878,0.0320000000,,out_of_anchor_band,0.2140992878,0.0160000000,,out_of_anchor_band,15.0759203579|29.1033895179|50.2523372108
2.780000,"4,6,8",0.750000,0.500000,0.000000,t_projected_direct,0.2464790132,0.0320000000,,out_of_anchor_band,0.2144790132,0.0160000000,,out_of_anchor_band,63.0436996016|122.5439436932|210.1099294482
2.780000,"4,6,8",0.500000,1.250000,0.000000,t_projected_direct,0.2466824275,0.0320000000,,out_of_anchor_band,0.2146824275,0.0160000000,,out_of_anchor_band,25.9332928525|49.5919046502|86.5574295829
2.780000,"4,6,8",1.250000,0.500000,0.000000,t_projected_direct,0.2533161697,0.0320000000,,out_of_anchor_band,0.2213161697,0.0160000000,,out_of_anchor_band,49.5470727454|103.1896028730|167.3546855930
2.780000,"4,6,8",0.200000,0.750000,0.000000,t_projected_direct,0.2554160296,0.0320000000,,out_of_anchor_band,0.2234160296,0.0160000000,,out_of_anchor_band,48.9803401592|100.8099294773|17.1868801968
2.780000,"4,6,8",0.400000,1.250000,0.000000,t_projected_direct,0.2577801202,0.0320000000,,out_of_anchor_band,0.2257801202,0.0160000000,,out_of_anchor_band,25.9447359818|50.7681620850|86.8623705280
2.780000,"4,6,8",0.100000,2.000000,0.000000,t_projected_direct,0.2580761864,0.0320000000,,out_of_anchor_band,0.2260761864,0.0160000000,,out_of_anchor_band,16.4848023931|30.3792685636|54.7741682090
2.780000,"4,6,8",0.500000,2.000000,0.000000,t_projected_direct,0.2671608385,0.0320000000,,out_of_anchor_band,0.2351608385,0.0160000000,,out_of_anchor_band,13.9300139810|25.4570881341|45.7926274378
2.780000,"4,6,8",0.200000,1.250000,0.000000,t_projected_direct,0.2697869959,0.0320000000,,out_of_anchor_band,0.2377869959,0.0160000000,,out_of_anchor_band,27.2274049133|57.4947949807|89.8702954167
2.780000,"4,6,8",0.100000,0.500000,0.000000,t_projected_direct,0.2847165084,0.0320000000,,out_of_anchor_band,0.2527165084,0.0160000000,,out_of_anchor_band,80.6894288089|160.1259718426|264.5775100085
2.780000,"4,6,8",0.400000,1.500000,0.000000,t_projected_direct,0.2848505862,0.0320000000,,out_of_anchor_band,0.2528505862,0.0160000000,,out_of_anchor_band,21.3304743834|41.7651592318|69.7987978641
2.780000,"4,6,8",0.300000,0.750000,0.000000,t_projected_direct,0.2918815246,0.0320000000,,out_of_anchor_band,0.2598815246,0.0160000000,,out_of_anchor_band,47.0278177787|95.7534539825|32.7119292987
2.780000,"4,6,8",1.500000,1.250000,0.000000,t_projected_direct,0.2920357845,0.0320000000,,out_of_anchor_band,0.2600357845,0.0160000000,,out_of_anchor_band,12.3391227870|28.7916529672|42.0784374884
2.780000,"4,6,8",1.500000,1.500000,0.000000,t_projected_direct,-0.2312268219,0.0320000000,,non_physical_eta_proxy,0.2632268219,0.0160000000,,non_physical_eta_proxy,4.9632486810|15.2054979432|23.4980546791
2.780000,"4,6,8",1.000000,0.500000,0.000000,t_projected_direct,0.3098129283,0.0320000000,,out_of_anchor_band,0.2778129283,0.0160000000,,out_of_anchor_band,57.8176486023|116.1827393761|180.1325782476
2.780000,"4,6,8",0.400000,2.000000,0.000000,t_projected_direct,0.3105641369,0.0320000000,,out_of_anchor_band,0.2785641369,0.0160000000,,out_of_anchor_band,14.6496094146|28.3314946198|47.1414209167
2.780000,"4,6,8",0.100000,0.750000,0.000000,t_projected_direct,0.3115324345,0.0320000000,,out_of_anchor_band,0.2795324345,0.0160000000,,out_of_anchor_band,51.3588081862|105.9942516418|168.7019938428
2.780000,"4,6,8",0.750000,1.000000,0.000000,t_projected_direct,0.3232786247,0.0320000000,,out_of_anchor_band,0.2912786247,0.0160000000,,out_of_anchor_band,28.3632791122|59.1243700204|93.6924820799
2.780000,"4,6,8",0.300000,1.500000,0.000000,t_projected_direct,0.3236722461,0.0320000000,,out_of_anchor_band,0.2916722461,0.0160000000,,out_of_anchor_band,22.7714796311|43.4573190773|72.5299427084
2.780000,"4,6,8",0.300000,0.500000,0.000000,t_projected_direct,0.3404530530,0.0320000000,,out_of_anchor_band,0.3084530530,0.0160000000,,out_of_anchor_band,76.0861681834|150.0029945396|31.4414034229
2.780000,"4,6,8",0.400000,1.000000,0.000000,t_projected_direct,0.3443349858,0.0320000000,,out_of_anchor_band,0.3123349858,0.0160000000,,out_of_anchor_band,34.4318331407|67.5639373052|107.7355769512
2.780000,"4,6,8",1.250000,1.250000,0.000000,t_projected_direct,0.3635392875,0.0320000000,,out_of_anchor_band,0.3315392875,0.0160000000,,out_of_anchor_band,16.3825733723|33.8200807331|28.8316926827
2.780000,"4,6,8",0.750000,1.250000,0.000000,t_projected_direct,0.3716690782,0.0320000000,,out_of_anchor_band,0.3396690782,0.0160000000,,out_of_anchor_band,21.1741958026|42.8619346610|59.1425477775
2.780000,"4,6,8",1.000000,0.750000,0.000000,t_projected_direct,0.3782003991,0.0320000000,,out_of_anchor_band,0.3462003991,0.0160000000,,out_of_anchor_band,36.6601988844|72.8633648486|107.5187063056
2.780000,"4,6,8",1.250000,2.000000,0.000000,t_projected_direct,-0.3230341610,0.0320000000,,non_physical_eta_proxy,0.3550341610,0.0160000000,,non_physical_eta_proxy,4.7108059964|10.3990084516|21.6328794840
2.780000,"4,6,8",0.300000,2.000000,0.000000,t_projected_direct,0.4171029845,0.0320000000,,out_of_anchor_band,0.3851029845,0.0160000000,,out_of_anchor_band,15.1305837557|30.9771512159|45.5527297352
2.780000,"4,6,8",0.750000,1.500000,0.000000,t_projected_direct,0.4464098154,0.0320000000,,out_of_anchor_band,0.4144098154,0.0160000000,,out_of_anchor_band,19.4005375910|34.0001279446|56.9502797919
2.780000,"4,6,8",0.050000,0.500000,0.000000,t_projected_direct,0.4471790794,0.0320000000,,out_of_anchor_band,0.4151790794,0.0160000000,,out_of_anchor_band,78.3820859176|161.7459476834|0.1847728087
2.780000,"4,6,8",0.750000,2.000000,0.000000,t_projected_direct,0.4518143394,0.0320000000,,out_of_anchor_band,0.4198143394,0.0160000000,,out_of_anchor_band,10.9290737228|22.5388128881|31.5607910498
2.780000,"4,6,8",1.000000,2.000000,0.000000,t_projected_direct,0.5282098419,0.0320000000,,out_of_anchor_band,0.4962098419,0.0160000000,,out_of_anchor_band,8.8349718400|18.0344329035|22.7510628421
2.780000,"4,6,8",0.400000,0.500000,0.000000,t_projected_direct,0.5766165830,0.0320000000,,out_of_anchor_band,0.5446165830,0.0160000000,,out_of_anchor_band,72.0207543314|143.7882873683|14.0533720822
2.780000,"4,6,8",1.000000,1.500000,0.000000,t_projected_direct,0.5995742030,0.0320000000,,out_of_anchor_band,0.5675742030,0.0160000000,,out_of_anchor_band,13.4244702849|24.0105689509|35.1493814317
2.780000,"4,6,8",0.050000,0.750000,0.000000,t_projected_direct,0.6589319402,0.0320000000,,out_of_anchor_band,0.6269319402,0.0160000000,,out_of_anchor_band,51.6713057799|106.2053040711|13.0250736034
2.780000,"4,6,8",1.000000,1.250000,0.000000,t_projected_direct,0.7882518263,0.0320000000,,out_of_anchor_band,0.7562518263,0.0160000000,,out_of_anchor_band,20.6675085096|34.9232297727|41.0412777659
2.780000,"4,6,8",1.500000,2.000000,0.000000,t_projected_direct,1.4703282411,0.0320000000,,out_of_anchor_band,1.4383282411,0.0160000000,,out_of_anchor_band,4.2761900354|7.8536310173|3.9233628294
