model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.000,magnetization_abs,1.4933835463,0.0046237231,0.5587509617,5351,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.000,acceptance_rate,0.5401166667,0.0011162590,0.5000000000,5351,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.050,binder,0.6621992069,0.0006852784,0.5000000000,4877,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.050,xi_over_L,0.0861116057,0.0411643908,0.5000000000,4877,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.050,susceptibility,0.2543971025,0.0351398541,0.5000000000,4877,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.050,structure_factor_kmin,0.2055595818,0.0154916283,0.5000000000,4877,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.050,magnetization_abs,1.4493594306,0.0077060416,0.5000000000,4877,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.050,acceptance_rate,0.5427777778,0.0019860419,0.5000000000,4877,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.624387,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.050,binder,0.6634331689,0.0004223257,0.5481437465,5139,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.050,xi_over_L,0.0694608168,0.0394155029,0.5481437465,5139,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.050,susceptibility,0.3270296849,0.0451373472,0.5481437465,5139,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.050,structure_factor_kmin,0.2816826259,0.0195007170,0.5481437465,5139,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.050,magnetization_abs,1.4362175760,0.0068610779,0.5481437465,5139,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
