eta_estimator,anchor_method,n_rows,transfer_factor_median,transfer_factor_mean,transfer_factor_cv,transfer_stability_pass,eta_transfer_min,eta_transfer_max,status_transfer
chi_connected,de2,5,63.3749186406,63.7660165562,0.0630325763,True,0.0295280510,0.0349326789,stable_transfer_candidate
kmin_structure,de2,5,53.7929295156,54.2320411844,0.0293975475,True,0.0313064816,0.0340758357,stable_transfer_candidate
