formal_n,coupling_id,sizes,eta_proxy,eta_stderr,eta_anchor_lpa,gamma_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,eta_anchor_de2,gamma_anchor_de2,gamma_phi_proxy_de2,status_de2,target_ratio_lpa,target_ratio_de2
2.780000,n2.78_m1.000_lam1.000,"6,8,10,12",2.0279973965,0.1739378134,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.000_lam1.050,"6,8,10,12",1.9354738290,0.1748768054,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.000_lam1.100,"6,8,10,12",2.1538979090,0.1861219119,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.000_lam1.200,"6,8,10,12",2.2138556839,0.1521729967,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
2.780000,n2.78_m1.050_lam1.150,"6,8,10,12",1.8713378306,0.1790937647,0.0160000000,0.4270000000,,out_of_anchor_band,0.0320000000,0.4620000000,,out_of_anchor_band,,
