model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.90_m0.430_lam0.600,binder,0.6654187712,0.0002446100,3.9176746977,41,2.900000,1.900000,0.950000,0.000000,0.000000,t_projected_direct,0.430000,0.600000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.90_m0.430_lam0.600,xi_over_L,0.0733101287,0.0448820961,3.9176746977,41,2.900000,1.900000,0.950000,0.000000,0.000000,t_projected_direct,0.430000,0.600000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.90_m0.430_lam0.600,susceptibility,0.1815300090,0.0352973985,3.9176746977,41,2.900000,1.900000,0.950000,0.000000,0.000000,t_projected_direct,0.430000,0.600000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.90_m0.430_lam0.600,magnetization_abs,2.3072767788,0.0157635339,3.9176746977,41,2.900000,1.900000,0.950000,0.000000,0.000000,t_projected_direct,0.430000,0.600000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.90_m0.430_lam0.600,acceptance_rate,0.4868055556,0.0073294681,0.5000000000,41,2.900000,1.900000,0.950000,0.000000,0.000000,t_projected_direct,0.430000,0.600000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.90_m0.430_lam0.600,binder,0.6660916431,0.0000954828,1.9188424398,41,2.900000,1.900000,0.950000,0.000000,0.000000,t_projected_direct,0.430000,0.600000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.90_m0.430_lam0.600,xi_over_L,0.0000000000,0.0343565290,1.9188424398,41,2.900000,1.900000,0.950000,0.000000,0.000000,t_projected_direct,0.430000,0.600000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.90_m0.430_lam0.600,susceptibility,0.1470567964,0.0230384668,1.9188424398,41,2.900000,1.900000,0.950000,0.000000,0.000000,t_projected_direct,0.430000,0.600000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.90_m0.430_lam0.600,magnetization_abs,2.3047658310,0.0074471252,1.9188424398,41,2.900000,1.900000,0.950000,0.000000,0.000000,t_projected_direct,0.430000,0.600000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.90_m0.430_lam0.600,acceptance_rate,0.4943359375,0.0044321836,0.5000000000,41,2.900000,1.900000,0.950000,0.000000,0.000000,t_projected_direct,0.430000,0.600000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.78_m0.400_lam1.000,binder,0.6605016861,0.0010185826,3.1016609202,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.78_m0.400_lam1.000,xi_over_L,0.1332080157,0.0468003406,3.1016609202,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.78_m0.400_lam1.000,susceptibility,0.2251985190,0.0417205559,3.1016609202,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.78_m0.400_lam1.000,magnetization_abs,1.7169247587,0.0234334573,3.1016609202,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.78_m0.400_lam1.000,acceptance_rate,0.5078125000,0.0149326156,0.5000000000,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.400_lam1.000,binder,0.6636384382,0.0007536940,4.8345354684,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.400_lam1.000,xi_over_L,0.0789159678,0.0572964646,4.8345354684,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.400_lam1.000,susceptibility,0.2434312710,0.0663790015,4.8345354684,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.400_lam1.000,magnetization_abs,1.6915627826,0.0202782627,4.8345354684,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.400_lam1.000,acceptance_rate,0.5024305556,0.0068316641,0.5000000000,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
