formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,xi_values,xi_window_pass,susceptibility_values
2.900000,"4,6,8",0.250000,0.750000,0.000000,t_projected_direct,1.2396471245,0.0250000000,,out_of_anchor_band,1.2146471245,0.0150000000,,out_of_anchor_band,0.0000000000|0.0337468244|0.0667873724,True,0.0814674720|0.1033829646|0.1415506400
3.000000,"4,6,8",0.450000,0.350000,0.000000,t_projected_direct,1.2398630856,0.0190000000,,out_of_anchor_band,1.2208630856,0.0130000000,,out_of_anchor_band,0.0784234372|0.0753274208|0.0000000000,True,0.1333781442|0.1695475399|0.2295658388
3.000000,"4,6,8",0.800000,0.500000,0.000000,t_projected_direct,1.2676979729,0.0190000000,,out_of_anchor_band,1.2486979729,0.0130000000,,out_of_anchor_band,0.0000000000|0.0882729417|0.0000000000,True,0.0965477555|0.1943770585|0.1162291043
2.900000,"4,6,8",0.600000,1.000000,0.000000,t_projected_direct,1.3313830032,0.0250000000,,out_of_anchor_band,1.3063830032,0.0150000000,,out_of_anchor_band,0.0000000000|0.0000000000|0.1653886868,True,0.1326335513|0.1472937121|0.2248053251
2.900000,"4,6,8",0.800000,0.650000,0.000000,t_projected_direct,1.3403456478,0.0250000000,,out_of_anchor_band,1.3153456478,0.0150000000,,out_of_anchor_band,0.0710654385|0.1074358334|0.0668343180,True,0.1293381981|0.1763565731|0.1943541080
2.900000,"4,6,8",0.450000,1.000000,0.000000,t_projected_direct,1.3589392334,0.0250000000,,out_of_anchor_band,1.3339392334,0.0150000000,,out_of_anchor_band,0.0487414513|0.1434941068|0.0890732331,True,0.1251663776|0.2070853918|0.1735716475
2.900000,"4,6,8",0.400000,0.750000,0.000000,t_projected_direct,1.3596267346,0.0250000000,,out_of_anchor_band,1.3346267346,0.0150000000,,out_of_anchor_band,0.0424444270|0.1303833009|0.0832015933,True,0.1041549598|0.3191707081|0.1491681713
3.000000,"4,6,8",0.400000,0.250000,0.000000,t_projected_direct,-1.3336869342,0.0190000000,,non_physical_eta_proxy,1.3526869342,0.0130000000,,non_physical_eta_proxy,0.0000000000|0.0530201522|0.0000000000,True,0.0853583771|0.1528452564|1.5215928362
2.900000,"4,6,8",0.200000,0.750000,0.000000,t_projected_direct,1.4005844998,0.0250000000,,out_of_anchor_band,1.3755844998,0.0150000000,,out_of_anchor_band,0.0703832512|0.0445122861|0.1079712813,True,0.1151109972|0.1194000025|0.1824026957
3.000000,"4,6,8",0.400000,0.650000,0.000000,t_projected_direct,-1.3596973344,0.0190000000,,non_physical_eta_proxy,1.3786973344,0.0130000000,,non_physical_eta_proxy,0.0216108406|0.0000000000|0.1321606090,True,0.1064127959|19.8871841502|0.2557505388
