formal_n,coupling_id,eta_estimator,source_observable,fit_method,sizes,eta_proxy,eta_stderr,eta_anchor_lpa,gamma_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,eta_anchor_de2,gamma_anchor_de2,gamma_phi_proxy_de2,status_de2,target_ratio_lpa,target_ratio_de2
3.000000,n3.00_m1.500_lam0.400,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",2.1257617354,0.1625730229,0.0130000000,0.2980000000,,out_of_anchor_band,0.0190000000,0.2940000000,,out_of_anchor_band,,
3.000000,n3.00_m1.500_lam0.400,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.9054520112,0.1001417799,0.0130000000,0.2980000000,,out_of_anchor_band,0.0190000000,0.2940000000,,out_of_anchor_band,,
3.000000,n3.00_m1.500_lam0.450,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",2.4116151682,0.1682776524,0.0130000000,0.2980000000,,out_of_anchor_band,0.0190000000,0.2940000000,,out_of_anchor_band,,
3.000000,n3.00_m1.500_lam0.450,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.7939294429,0.0940349107,0.0130000000,0.2980000000,,out_of_anchor_band,0.0190000000,0.2940000000,,out_of_anchor_band,,
3.000000,n3.00_m1.500_lam0.500,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",1.7359795244,0.1813496647,0.0130000000,0.2980000000,,out_of_anchor_band,0.0190000000,0.2940000000,,out_of_anchor_band,,
3.000000,n3.00_m1.500_lam0.500,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.5680536055,0.0938374843,0.0130000000,0.2980000000,,out_of_anchor_band,0.0190000000,0.2940000000,,out_of_anchor_band,,
3.000000,n3.00_m1.500_lam0.550,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",2.1387391242,0.1771702496,0.0130000000,0.2980000000,,out_of_anchor_band,0.0190000000,0.2940000000,,out_of_anchor_band,,
3.000000,n3.00_m1.500_lam0.550,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.7638986962,0.0831287840,0.0130000000,0.2980000000,,out_of_anchor_band,0.0190000000,0.2940000000,,out_of_anchor_band,,
3.000000,n3.00_m1.500_lam0.600,chi_connected,susceptibility,fractional chi ~ L^(2-eta),"6,8,10,12",2.0015416763,0.1788470991,0.0130000000,0.2980000000,,out_of_anchor_band,0.0190000000,0.2940000000,,out_of_anchor_band,,
3.000000,n3.00_m1.500_lam0.600,kmin_structure,structure_factor_kmin,fractional S(k_min) ~ L^(2-eta),"6,8,10,12",1.7885634274,0.0913818207,0.0130000000,0.2980000000,,out_of_anchor_band,0.0190000000,0.2940000000,,out_of_anchor_band,,
