formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,susceptibility_values
2.780000,"4,6,8",1.450000,0.750000,0.000000,t_projected_direct,0.2543623525,0.0320000000,,out_of_anchor_band,0.2223623525,0.0160000000,,out_of_anchor_band,25.8674171477|55.3174495861|89.2813804960
2.780000,"4,6,8",1.300000,0.850000,0.000000,t_projected_direct,0.2595612120,0.0320000000,,out_of_anchor_band,0.2275612120,0.0160000000,,out_of_anchor_band,26.8515735087|55.9244678511|69.3210535898
2.780000,"4,6,8",1.250000,0.700000,0.000000,t_projected_direct,0.2609139265,0.0320000000,,out_of_anchor_band,0.2289139265,0.0160000000,,out_of_anchor_band,34.4967100439|71.3248265009|78.8275297578
2.780000,"4,6,8",1.150000,0.750000,0.000000,t_projected_direct,0.2620363808,0.0320000000,,out_of_anchor_band,0.2300363808,0.0160000000,,out_of_anchor_band,33.7796360608|68.4479287926|112.7553719034
2.780000,"4,6,8",1.100000,0.650000,0.000000,t_projected_direct,0.2704054581,0.0320000000,,out_of_anchor_band,0.2384054581,0.0160000000,,out_of_anchor_band,40.1618523510|81.7255234097|133.5885671278
2.780000,"4,6,8",1.350000,0.650000,0.000000,t_projected_direct,0.2782629918,0.0320000000,,out_of_anchor_band,0.2462629918,0.0160000000,,out_of_anchor_band,36.6012549449|75.3419961006|121.5630250313
2.780000,"4,6,8",1.300000,0.750000,0.000000,t_projected_direct,0.2983519209,0.0320000000,,out_of_anchor_band,0.2663519209,0.0160000000,,out_of_anchor_band,30.2735702706|61.0879696677|97.9965675552
2.780000,"4,6,8",1.200000,0.750000,0.000000,t_projected_direct,0.3010658138,0.0320000000,,out_of_anchor_band,0.2690658138,0.0160000000,,out_of_anchor_band,33.0584571049|67.4587680642|108.3205977248
2.780000,"4,6,8",1.450000,0.650000,0.000000,t_projected_direct,0.3133587549,0.0320000000,,out_of_anchor_band,0.2813587549,0.0160000000,,out_of_anchor_band,34.5924956406|69.3649780453|111.7935365605
2.780000,"4,6,8",1.350000,0.700000,0.000000,t_projected_direct,0.3199744927,0.0320000000,,out_of_anchor_band,0.2879744927,0.0160000000,,out_of_anchor_band,31.5535661350|65.9142368675|103.4894666444
2.780000,"4,6,8",1.150000,0.800000,0.000000,t_projected_direct,0.3305156978,0.0320000000,,out_of_anchor_band,0.2985156978,0.0160000000,,out_of_anchor_band,31.2635730306|60.7273059159|99.7877815810
2.780000,"4,6,8",1.150000,0.850000,0.000000,t_projected_direct,0.3372822848,0.0320000000,,out_of_anchor_band,0.3052822848,0.0160000000,,out_of_anchor_band,28.4106268546|59.7430698953|90.8754187780
2.780000,"4,6,8",1.400000,0.700000,0.000000,t_projected_direct,0.3544318718,0.0320000000,,out_of_anchor_band,0.3224318718,0.0160000000,,out_of_anchor_band,32.2029571478|64.3196645630|97.5777315965
2.780000,"4,6,8",1.500000,0.700000,0.000000,t_projected_direct,0.4030602695,0.0320000000,,out_of_anchor_band,0.3710602695,0.0160000000,,out_of_anchor_band,29.7428290090|58.4251302874|71.1393613163
2.780000,"4,6,8",1.400000,0.750000,0.000000,t_projected_direct,0.8007754525,0.0320000000,,out_of_anchor_band,0.7687754525,0.0160000000,,out_of_anchor_band,27.7525261896|60.0833580802|2.6205391700
